#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-1211.1168,5,62.266308
-1592.1721,19,62.26638
-1047.2231,2,62.287543
-1362.6708,9,62.300119
-991.4185,12,62.311962
-903.3129,15,62.325432
-1116.152,4,62.325538
-235.83368,32,62.338392
-1379.4609,10,62.338483
210.28589,39,62.338502
-1085.5836,3,62.384704
-1014.1322,8,62.384766
-1109.6014,4,62.39884
-1075.9521,6,62.41693
-1554.3856,50,62.417013
-803.9358,28,62.4321
1700.8324,61,62.445681
-2924.5679,12,62.457432
-1059.1528,3,62.486767
-944.7226,6,62.500349
-1567.89,8,62.529363
-1111.5416,6,62.55038
-2767.4282,16,62.550472
-1752.1252,16,62.565766
-1329.0947,13,62.579095
-968.1865,2,62.579151
-1862.6641,10,62.579165
-1642.4365,36,62.591692
-2205.5479,35,62.607105
-921.32336,8,62.622867
-2453.4023,15,62.623139
-2712.1768,39,62.63797
-897.78064,4,62.638055
-1024.5557,6,62.638079
-2374.0586,17,62.638088
-1087.8826,6,62.663739
-1050.1317,5,62.663804
-1041.1547,2,62.677659
-468.44287,32,62.689807
-1450.4343,4,62.705517
-950.743,2,62.723762
-2343.0269,6,62.723837
-1197.3556,6,62.761845
-2603.9194,8,62.796463
-1504.4343,95,62.796541
-1022.2298,3,62.83426
433.51672,33,62.846575
1659.1774,59,62.864447
-755.7269,7,62.879633
-2205.5742,11,62.879728
-1037.1538,3,62.900903
-858.8606,4,62.900962
-1037.4697,2,62.91501
-2909.4587,4,62.929963
157.07214,22,62.930032
-1087.0732,36,62.946978
-3823.2905,16,62.962006
-1886.7991,45,62.962075
-1078.893,3,62.976141
-3316.186,21,62.976218
-1460.4513,18,63.007169
-1156.4686,21,63.022877
-1334.9084,6,63.051321
-832.3811,18,63.051386
-1964.6337,25,63.051401
-2188.2803,10,63.051408
-1312.8044,5,63.084426
-3267.602,18,63.084497
-2657.057,12,63.099472
-2434.2476,31,63.114197
-974.1513,2,63.133501
-1006.11914,71,63.146908
-887.97034,5,63.16156
-1711.562,7,63.161602
-1443.4697,3,63.16161
-1081.5063,3,63.180824
-1620.8569,41,63.180929
-1018.3843,17,63.218451
-1404.8145,20,63.218521
-954.6031,3,63.218536
-1001.6972,2,63.248788
-1061.4845,2,63.248867
-3949.7007,74,63.281197
-1237.4348,8,63.281257
-1119.7625,3,63.293746
-1725.5713,18,63.306864
-2565.56,15,63.319434
-1490.4861,7,63.319587
-2172.5068,76,63.378927
-1128.113,11,63.407275
-776.68036,25,63.438008
3149.346,111,63.472749
-1021.89264,2,63.503696
-170.15186,22,63.503757
-1231.3136,29,63.503773
-2405.3623,7,63.521286
1166.3466,82,63.571837
-1125.7551,19,63.58782
-921.8343,5,63.602953
-2406.6,20,63.640058
-804.57623,45,63.640116
-1256.1368,57,63.654871
-909.1074,22,63.654946
-1583.8044,54,63.654959
-706.1334,18,63.679257
-2962.9468,11,63.696601
-1395.7305,9,63.726443
-3396.3955,46,63.726548
-2904.9272,48,63.741175
-1122.8567,5,63.741286
-1039.2887,2,63.75814
-2119.0525,14,63.758229
-1707.9448,4,63.769388
-435.21368,30,63.769471
-1197.7944,8,63.785621
-2393.4365,31,63.799853
-694.9106,30,63.812264
-1368.3192,10,63.826029
-1954.081,9,63.826109
57.7135,61,63.855948
-1566.5681,8,63.869242
-1027.191,2,63.884801
422.73718,52,63.885177
-1567.3141,7,63.915405
-976.7145,11,63.915498
-909.63367,3,63.936585
-2556.552,13,63.936659
-1116.8518,3,63.936675
-1076.1376,5,63.951727
-1368.7725,23,63.951808
-1100.6653,4,64.001119
-989.13025,4,64.001182
-905.23035,4,64.001198
-1344.0537,15,64.001204
-1802.5107,52,64.015421
-1530.5972,6,64.015484
-1095.0857,27,64.030121
-1306.3323,23,64.030182
-241.81555,36,64.030196
-925.3572,5,64.030204
-969.9254,3,64.049037
-2440.0598,32,64.049123
-826.7147,4,64.074946
-3757.7285,68,64.075008
-1678.0905,15,64.075024
-883.98816,3,64.10104
-896.7345,22,64.124221
-1132.7068,5,64.124287
-992.5183,6,64.124301
-1292.5367,19,64.144592
-2007.3425,6,64.14472
1495.703,60,64.144741
-1272.5956,5,64.144747
-1052.0994,4,64.15786
138.11243,27,64.157942
-1046.9777,2,64.157964
-1085.7588,2,64.183615
-1003.4831,3,64.183689
-1074.0808,7,64.262989
-966.99146,4,64.263059
-431.25067,29,64.263075
-3395.8276,15,64.282401
-1805.3741,9,64.282512
-1806.0239,13,64.333224
-989.21326,16,64.425423
-584.9431,16,64.425541
-784.7543,30,64.454789
-2391.7656,40,64.454859
-509.5022,24,64.470463
-2805.0188,20,64.470607
-993.84863,2,64.494533
-1795.3973,18,64.494605
-1054.6125,2,64.523832
-1189.2343,16,64.523902
-1046.1792,2,64.523921
-1352.296,16,64.523928
-1324.6754,16,64.544367
-1426.8542,3,64.585233
-1093.7274,3,64.597183
-899.523,4,64.597245
-4980.0537,22,64.628327
-643.7689,38,64.638534
597.05237,44,64.653593
-2132.2515,36,64.653684
-991.8866,5,64.668417
-1907.5259,32,64.668513
-1234.4702,4,64.680856
-4830.828,16,64.680946
-2400.0215,21,64.680962
-2036.0576,15,64.699145
-1781.9088,4,64.720962
-1049.569,4,64.734154
-1834.0374,4,64.753625
-2109.7554,11,64.768002
-1044.0609,5,64.768097
-1080.2478,2,64.783465
-1867.3843,8,64.783563
-1351.058,10,64.795104
-1039.169,2,64.808214
-1422.2151,10,64.821989
-1189.8085,6,64.822308
-999.04376,4,64.842191
-1396.515,17,64.842239
-1798.9528,9,64.842249
-1034.4767,2,64.861767
-798.55347,36,64.861845
-1551.4841,25,64.874884
-978.3633,2,64.874943
-785.62134,52,64.889093
-1125.3491,4,64.889146
-4066.3154,75,64.889163
-1029.1073,2,64.889168
-1015.2496,29,64.889172
-1148.2189,6,64.920586
-320.07953,24,64.920627
-1041.7668,2,64.920637
-1109.5835,3,64.94035
-3072.7104,57,64.951163
-2118.8423,16,64.951222
-4122.3486,75,64.962937
1775.8728,109,64.963027
-1283.4329,7,64.975196
-1044.9636,5,64.992542
-1305.8965,6,64.992611
-1040.6892,7,65.007323
-1633.9634,4,65.007362
-937.80554,6,65.007372
-1711.75,9,65.040289
-1733.4675,8,65.054134
-2433.0615,6,65.083757
-1019.7125,10,65.120993
-1517.7421,17,65.121061
-1016.47864,2,65.121078
-1974.4121,37,65.121086
-1284.4736,15,65.155512
-884.4512,22,65.15556
-1188.6226,4,65.196179
-1016.5905,3,65.209204
509.58832,29,65.246929
-4695.991,17,65.247211
-2780.266,14,65.247254
-1525.0544,12,65.264282
-1124.8235,4,65.264367
-566.94507,22,65.264384
-1011.41815,2,65.297678
-2959.8145,76,65.33038
-696.82117,19,65.330452
-1361.7017,24,65.384686
-1579.4797,8,65.384775
-994.2494,80,65.405066
-1440.9946,31,65.417428
-1346.0063,4,65.452559
-967.5409,2,65.45263
-1648.2004,20,65.478282
-2088.276,13,65.490591
-1786.6288,29,65.490672
-697.6137,62,65.503881
-438.22443,27,65.503981
-1470.9829,22,65.504001
-1209.274,40,65.524817
-3001.2769,16,65.524884
-1713.2498,11,65.524899
765.4968,46,65.542518
-991.1756,5,65.542618
-960.8843,4,65.555786
-1080.7327,3,65.568453
-1138.6157,4,65.581762
-1175.6091,3,65.581827
-1037.8081,4,65.581844
-959.3583,3,65.598186
-1320.1432,28,65.59828
-1043.8716,2,65.631551
-1491.977,9,65.631628
-1424.2822,7,65.646787
-762.64655,10,65.660393
-1632.4993,10,65.660469
-2753.0818,27,65.660485
-1057.0841,5,65.660491
-1944.4965,6,65.67461
-1511.838,6,65.674677
-1080.3429,2,65.688181
-1757.2234,16,65.719679
-551.6964,25,65.733025
-2466.934,32,65.762743
-51.212524,46,65.762806
-922.7534,5,65.796216
-1350.9546,22,65.796319
-1340.8767,9,65.79634
-1093.7369,4,65.796346
-391.01794,40,65.816547
-242.45331,32,65.816609
-2559.0342,10,65.816622
-609.0768,28,65.831363
-1038.1306,4,65.831425
-2429.3035,17,65.831442
-2470.7295,10,65.860836
-1107.8223,5,65.860906
-1109.1829,3,65.877783
-1109.6353,4,65.877855
-1284.8177,3,65.877871
-1076.3773,2,65.893184
-1192.2257,15,65.927131
-1334.1271,7,65.927187
-1394.2034,73,65.927202
-1658.834,4,65.94414
-1696.8043,21,65.944198
-1073.4899,4,65.944213
-936.7118,7,65.957778
322.5868,21,65.970497
-847.6996,4,65.985468
-1044.3774,2,65.999088
-1072.1124,4,65.999162
-1323.8005,11,65.9992
-1129.2277,10,65.999211
-58.19751,67,66.044214
-1472.6664,10,66.04429
-1621.5647,4,66.055572
-1286.3002,49,66.055637
-237.91205,41,66.055658
175.98053,36,66.077566
-1915.5181,6,66.097798
-924.8493,6,66.097855
-982.042,15,66.12549
-945.1966,8,66.125607
-1063.154,28,66.138885
-1322.0286,3,66.138955
-1133.5237,5,66.155452
-2156.938,21,66.155529
-1686.7227,7,66.167976
-1511.7561,6,66.168078
-1901.8306,7,66.168107
-1244.751,20,66.189394
-3213.308,23,66.189699
-1101.7755,3,66.204195
-1108.0211,4,66.221441
-1884.4209,8,66.236921
-1124.7876,37,66.236979
-2188.8179,18,66.236994
-1901.7098,9,66.254199
-1215.909,4,66.254264
-1041.9121,2,66.28159
-1455.835,3,66.281657
-475.47302,23,66.297084
374.71545,39,66.297142
-1064.5886,5,66.314813
-1771.3297,30,66.330454
-1017.28503,4,66.35238
-1458.4087,8,66.352503
-1520.5607,13,66.352521
-3963.4543,13,66.381327
-316.04114,23,66.381421
-1796.9097,12,66.399738
-1382.7253,7,66.420212
-1113.1874,4,66.420283
-1745.8943,9,66.433976
-875.7894,22,66.434064
-1242.8137,7,66.449692
-1041.5673,2,66.449787
-317.46045,17,66.465908
-1032.5194,6,66.48862
-944.9795,14,66.488706
-630.5042,34,66.488724
-2344.455,10,66.488732
-2363.5542,23,66.504027
423.1338,34,66.524423
-1597.1932,10,66.524517
-1038.218,2,66.524536
-745.1698,12,66.550408
-1714.0562,9,66.577004
-1964.3756,11,66.592308
-647.9807,27,66.609246
-1355.354,28,66.626439
-2290.768,15,66.639987
-1416.458,8,66.640064
-1380.219,25,66.640097
-1626.0503,13,66.653641
-1190.3099,7,66.653711
-349.52893,63,66.668658
-934.7209,5,66.668761
-687.6997,35,66.684557
-580.04755,46,66.68465
-2782.83,14,66.702226
-1765.813,8,66.733628
-1013.3672,6,66.733746
-766.7886,5,66.749095
-884.00977,16,66.74918
-1027.3622,2,66.770556
-1217.0679,7,66.770624
-5.6850586,17,66.789181
824.3765,41,66.80076
-998.8767,2,66.813944
-1160.4729,4,66.82656
-1473.3584,7,66.865543
-983.25006,6,66.893594
-903.8092,7,66.969475
-634.4225,35,66.99381
-1437.3055,20,66.993883
-871.1136,17,67.012299
-3432.017,38,67.028452
-959.015,47,67.042319
-2205.0298,7,67.100586
-684.9403,25,67.100674
-167.73578,45,67.100693
-1451.7756,3,67.1007
-3182.3271,18,67.117835
-1357.2637,28,67.132525
-1494.5372,7,67.132896
-1913.5027,6,67.132926
-1783.4491,42,67.15234
-986.9464,4,67.166113
-1527.1765,3,67.184617
-2099.854,11,67.184698
-1063.0327,3,67.184716
-683.85846,25,67.199401
-1777.7922,7,67.212515
-595.7159,46,67.212591
-47.05304,40,67.212606
-1110.0564,4,67.244528
-1042.4668,38,67.244594
-928.44525,9,67.244611
-1142.5565,10,67.260482
545.32825,48,67.274615
-1849.4304,10,67.274775
-2523.0557,35,67.290158
-2334.7441,8,67.290249
-3144.8623,35,67.304426
-1057.2155,2,67.304522
-1391.2502,10,67.304547
-1414.2938,7,67.317433
-266.7959,26,67.317508
-1783.3446,4,67.339508
-1193.4607,11,67.366363
-1466.7655,11,67.366446
-849.3707,45,67.366463
-974.0312,6,67.380037
-861.8838,7,67.398499
-1534.3883,11,67.411733
-2506.8403,15,67.41194
-1813.1664,13,67.452025
-1781.6499,17,67.479369
-2145.852,21,67.479446
-2899.288,13,67.479464
1041.6925,67,67.501635
-1087.6357,22,67.501728
1207.3966,57,67.518555
-1113.2151,3,67.553881
-1414.532,7,67.591435
-4126.1807,19,67.591508
-3277.195,8,67.619407
1070.4191,65,67.619484
-2808.998,15,67.633014
-1452.404,28,67.65443
-2408.0845,10,67.673125
-974.94116,20,67.673264
-1002.0582,2,67.691242
-2706.6255,18,67.691302
1534.4398,67,67.691317
-2097.744,14,67.705672
-498.32257,38,67.705731
-555.8849,23,67.726763
-1026.1158,6,67.726821
-1753.5271,8,67.726836
-1031.2194,2,67.762304
-371.049,20,67.804023
-913.39124,4,67.814324
-1894.0789,10,67.830509
-2012.898,9,67.844442
-1006.1358,33,67.879659
-1793.1128,10,67.879753
-665.6905,28,67.896466
-827.351,6,67.896564
-1445.2673,41,67.912059
-1035.3743,2,67.912116
-1486.1987,39,67.912131
-2174.1035,14,67.912138
-1856.0697,34,67.92652
-1650.4504,19,67.947194
-928.9008,3,67.959723
-1119.5729,4,67.960014
-2364.1475,4,67.975484
-1153.1277,6,68.001642
-887.0935,8,68.022082
-1244.8658,6,68.022157
-830.0242,67,68.036304
-1164.46,3,68.079972
-1183.3035,23,68.080068
474.97125,25,68.09424
-1440.6061,10,68.111163
-893.41437,18,68.126636
-1311.0798,8,68.126706
-1005.5869,2,68.14072
-2419.0955,29,68.140784
-1523.7441,31,68.157039
-1116.1272,5,68.157099
-4258.6465,38,68.183815
-2191.0933,21,68.204229
-2388.8535,15,68.204289
-557.1924,33,68.204303
-1029.5675,12,68.204316
149.19586,19,68.204323
3055.0535,63,68.204328
-1059.8333,2,68.230184
1716.9126,58,68.230293
-1428.0634,8,68.248925
-1182.8147,11,68.248982
-1134.7999,3,68.248996
-1045.2501,2,68.265798
-1127.4731,7,68.265856
-1439.4365,8,68.308701
-2338.0537,13,68.355637
-1077.4038,7,68.355743
-1019.2304,3,68.373547
-1008.10297,2,68.388828
-1627.396,16,68.388911
-1441.8337,3,68.409585
-2177.3083,19,68.409661
-2672.9697,9,68.421735
-921.8556,4,68.4358
-2946.8928,28,68.460696
-1831.827,34,68.486393
-2536.6182,18,68.486711
-1023.76904,16,68.509961
-4981.9243,23,68.510051
-1283.5475,21,68.541234
-1451.6798,3,68.541306
-1561.6106,12,68.582586
2598.1816,66,68.582666
-1246.1772,13,68.58269
-981.0944,2,68.614396
-4478.706,23,68.614475
-1704.2292,26,68.614492
-761.0984,6,68.632822
-1307.3911,51,68.632895
-913.5345,16,68.650436
818.8828,81,68.65053
-990.62354,3,68.667255
-1031.6809,4,68.685697
-1051.7657,3,68.698841
-125.45648,28,68.699178
-1950.563,9,68.727056
-934.08765,6,68.727135
-1014.9387,7,68.727153
-2155.9912,7,68.740479
-1254.4454,59,68.740594
-1175.5692,5,68.755484
-1111.057,3,68.770683
-987.8855,2,68.770745
-1896.6938,36,68.770755
-3125.2793,17,68.770762
-1668.271,9,68.784164
-876.1647,34,68.806269
-715.79517,8,68.822116
-1028.1637,5,68.836473
-654.7558,22,68.85104
-1774.8057,6,68.867866
-2680.2998,59,68.867931
-906.50085,4,68.880842
-476.20337,30,68.88091
-1057.865,3,68.880926
-110.77771,29,68.880935
-2302.8308,20,68.894056
-1055.1938,3,68.908042
-2004.8108,12,68.908435
-1019.4612,2,68.90847
-1900.9047,30,68.922764
-2717.018,12,68.922874
-924.5203,35,68.922893
-1784.3717,30,68.949253
-1820.8877,5,68.949345
-704.02637,20,68.970535
-1995.0098,5,68.986881
-1752.238,15,69.004659
-853.52527,20,69.004747
-1001.7219,31,69.019033
-1291.3136,19,69.019101
-1026.5381,12,69.032338
-1055.0793,2,69.032413
2746.5605,58,69.068829
-1813.196,11,69.069164
-758.86975,9,69.102709
-977.0676,2,69.102795
-1178.3593,6,69.102814
-1138.969,4,69.102824
-1837.5348,8,69.10283
-994.9427,3,69.117262
-1091.2872,2,69.146777
-1594.4377,7,69.146878
-971.26166,4,69.168218
-968.32623,16,69.168306
-978.14966,5,69.180799
-1592.1705,102,69.222572
-2313.4336,29,69.237814
-1284.0322,7,69.249972
194.40234,22,69.266076
-930.52075,8,69.282373
-997.0308,28,69.320502
-1362.4543,35,69.320569
-1232.1248,25,69.320584
-670.3225,33,69.320592
-747.6948,36,69.332604
-2456.0662,13,69.348932
-1967.2468,13,69.367427
-1242.6226,17,69.36752
-2937.2825,9,69.383568
-967.2717,4,69.383639
-2982.899,30,69.39937
-313.86243,34,69.39949
-1547.9304,6,69.41706
-2470.8872,13,69.430937
-974.9473,2,69.431
-990.16595,10,69.470486
-1431.2844,14,69.486108
-1307.4956,17,69.517999
-816.9579,39,69.518082
-2664.6094,42,69.534974
-1630.4117,11,69.535066
-1367.0641,17,69.549865
-945.33923,15,69.549908
-2977.5986,15,69.577253
-1618.7528,14,69.577311
-1045.2501,2,69.577324
-1069.3218,5,69.601773
-1163.3268,4,69.601853
640.97095,39,69.601871
-1070.345,2,69.6184
-2964.3232,12,69.618482
-557.7059,34,69.639163
-2729.4858,29,69.639225
-1559.5449,9,69.63924
-932.7021,7,69.639246
-1435.7422,4,69.654801
-1026.5549,2,69.669526
-1259.2056,21,69.66962
-949.69055,4,69.669636
-1530.4923,19,69.692421
-966.03284,6,69.729298
-1892.1501,5,69.742328
-649.1542,23,69.742409
-1149.1776,8,69.742431
-3863.3796,14,69.759481
-1606.8611,7,69.759571
1176.4677,48,69.773601
-1158.2488,19,69.773668
-1118.209,8,69.789843
-1689.3767,14,69.804389
-1226.4583,6,69.845138
-993.266,3,69.84521
-1114.5831,5,69.845226
-754.20557,16,69.8744
-1421.081,13,69.874515
-1135.6918,3,69.895273
-2602.846,17,69.89536
-2295.1125,10,69.895378
-1931.6064,11,69.908676
-1235.7109,33,69.92462
-936.1553,20,69.924705
-1027.6691,2,69.924734
-878.18225,20,69.96537
-1705.0076,61,69.965487
-930.29443,5,69.965513
94.06073,25,69.98251
-2012.6182,37,69.995345
-1033.7367,2,69.99543
-1098.3109,6,70.010464
-2495.2307,32,70.037121
-1219.6943,5,70.037205
-638.12085,62,70.051989
-1038.0593,20,70.069801
-1780.574,15,70.069908
-1758.7352,8,70.097762
-1065.9991,2,70.097829
1759.5142,75,70.111016
-1142.8439,6,70.132656
-1047.0343,19,70.15824
-2141.556,37,70.158376
-1100.0159,3,70.158396
-2427.366,17,70.176852
-183.56824,18,70.176909
-818.73804,6,70.190209
-1971.9004,18,70.229141
-1207.8156,9,70.229203
-92.00348,25,70.24512
-1069.8154,12,70.245213
-686.51843,36,70.256692
-1860.5275,7,70.267968
-1142.1676,10,70.295521
-1670.4915,8,70.295587
-1044.037,2,70.324499
-396.16345,63,70.336899
-1726.2299,41,70.350451
-1043.483,3,70.37008
-1528.8043,44,70.386646
-2098.7124,25,70.416242
-1253.2136,12,70.427718
-2799.731,31,70.466837
-1495.9727,7,70.466941
-1233.3301,33,70.490499
-667.17346,22,70.490588
-2282.9253,15,70.490604
-1050.0951,6,70.490615
-1657.4578,10,70.506173
-1005.1768,6,70.506304
-1095.988,2,70.52486
-2092.7156,6,70.524966
-1401.1707,9,70.524983
-2594.8552,14,70.524991
-1219.1978,4,70.537616
176.39288,23,70.59123
-1342.2661,6,70.607115
-2658.875,41,70.607172
-980.3719,5,70.607184
-1393.9962,9,70.630649
1687.2628,52,70.680506
-249.18237,27,70.696429
-967.275,6,70.696723
-1088.5398,11,70.696754
-273.0805,56,70.696765
-1001.829,5,70.696769
-1253.2438,5,70.696774
2058.8218,52,70.713686
-2299.5522,36,70.713754
-1055.9106,2,70.728471
-1444.8591,13,70.72856
-1064.8435,2,70.728579
-950.6617,46,70.758677
-892.1363,5,70.771465
393.38458,18,70.771565
-1338.4343,6,70.771584
-581.1005,18,70.821374
-875.79974,4,70.821432
-1422.2324,6,70.821446
-1038.3358,2,70.835989
-892.89575,5,70.836086
-1473.6486,3,70.854899
-1135.7537,4,70.854959
-1038.3805,2,70.886781
-1056.4949,40,70.886857
-1201.3116,4,70.886873
-835.24554,5,70.902389
-1151.5195,3,70.902873
-1744.9678,6,70.939106
-1120.2924,13,70.939168
-1119.8035,12,70.939184
-2190.5977,13,70.955088
-2144.6301,18,70.955197
-919.4927,6,70.984558
-993.1352,3,70.984624
-1062.6195,3,70.98464
-1345.0721,3,71.00165
-2078.4243,10,71.00172
-1010.9729,17,71.00174
-1958.5552,78,71.01863
-1363.1846,9,71.039691
-1072.6578,3,71.061841
-1114.5481,4,71.061917
-498.95966,19,71.07994
-675.0676,11,71.080026
-1138.2094,27,71.095792
-1611.7408,11,71.095882
-1487.113,9,71.109146
-1045.0852,4,71.1092
-931.1126,3,71.144001
3185.2083,63,71.156656
-1307.737,5,71.156727
-580.06415,18,71.201568
-755.31775,26,71.232755
209.33325,44,71.232824
-991.7626,9,71.294842
-3550.8503,13,71.310554
-1300.9067,10,71.310627
-3456.7273,15,71.325977
-1593.9484,49,71.326022
-234.83795,32,71.342125
-842.212,54,71.367714
759.15845,70,71.367783
-1124.8049,5,71.383275
-697.3001,13,71.396697
-1170.413,8,71.409009
-993.1629,2,71.424716
-1056.52,11,71.475414
-2550.5303,27,71.49037
-1630.543,60,71.505798
-1165.4858,8,71.505895
-930.1186,3,71.541856
-1234.0781,33,71.541966
-991.345,36,71.567286
-1094.8234,4,71.584976
-2194.8533,33,71.585065
-455.53912,15,71.585081
-1163.2559,4,71.585087
-1005.7937,3,71.606049
-1505.6115,14,71.606161
837.022,31,71.636663
-1070.8904,25,71.636742
-1098.0264,4,71.651038
-473.71283,34,71.651131
-1085.2488,4,71.670465
-1025.2025,2,71.685559
-1020.8287,2,71.71664
1332.4143,49,71.739365
-714.19165,42,71.739455
1521.8712,45,71.739471
-1251.5024,9,71.739477
-1745.544,6,71.739483
-1044.0746,2,71.753598
-1060.271,23,71.790943
-1046.0614,6,71.817856
-2229.8125,6,71.81795
1665.7249,54,71.850324
-1348.2837,15,71.888161
-1002.2242,6,71.888266
1482.3179,41,71.888297
-1441.6204,11,71.909075
-1961.5637,11,71.909144
-2189.3086,29,71.90916
-2181.2449,11,71.925123
-1051.5753,2,71.938054
-1206.5103,3,71.956901
-1024.0674,2,71.956946
-3535.3335,40,71.970683
-1183.4458,5,71.970775
-523.03033,61,71.988145
-2473.5913,27,72.02371
-490.05408,26,72.023753
-944.10486,4,72.023761
-936.4769,4,72.041073
-1792.9296,11,72.071317
-1124.3989,6,72.083745
1011.51917,119,72.09634
-3494.3638,34,72.110356
-1845.7882,29,72.122697
-1119.4441,5,72.147018
-2350.898,8,72.159952
-822.14374,6,72.176078
-2381.8606,11,72.188188
-2450.8538,15,72.202553
-1137.1558,3,72.202633
-600.80414,12,72.20265
-2091.5557,55,72.202667
-948.304,8,72.221403
-1026.8086,3,72.22154
-2151.8936,8,72.238786
-2106.1577,7,72.238852
-1074.2206,2,72.238867
-1076.1709,3,72.27311
-2075.478,34,72.273207
-675.31494,23,72.273235
-2448.8933,20,72.273244
-1040.3387,3,72.273252
-1032.7778,3,72.292945
201.89746,46,72.293009
-3423.2607,57,72.293037
-989.79944,4,72.308984
-1942.6179,28,72.309042
-998.0757,6,72.309057
-906.8884,4,72.336817
-1825.1401,4,72.336875
-1154.4753,4,72.348739
-1041.7222,2,72.363355
-1316.3555,27,72.363396
-1151.7429,7,72.378633
-1099.7145,7,72.378716
-848.72546,57,72.393224
-1762.7058,13,72.406164
-1825.4199,7,72.406237
-1546.7799,5,72.443794
-895.8353,7,72.458253
-1062.5918,3,72.458317
1872.5646,40,72.458332
-2959.0874,12,72.458338
2809.4429,56,72.473784
-2360.0088,12,72.473851
-1350.0403,8,72.505938
-1009.5725,3,72.522954
760.0554,57,72.537317
-1108.9258,46,72.551651
-1025.4313,2,72.551713
-2074.3926,6,72.551727
-2469.875,8,72.571854
-1980.0873,13,72.616589
-1688.8605,47,72.630479
-976.2874,5,72.630553
-1422.4923,18,72.656957
-1202.7933,21,72.657023
-1146.0046,3,72.657038
-2259.5754,15,72.684844
-3559.7793,11,72.700243
-1248.5681,10,72.70031
-2716.2144,16,72.700324
-1257.0088,10,72.700332
-1200.5522,9,72.700347
-1022.8515,3,72.731988
-2013.0876,23,72.745198
-1005.2554,3,72.745281
-1326.0531,7,72.7574
272.54993,49,72.772887
-1383.7823,8,72.818952
-3947.1719,43,72.851489
-320.2917,40,72.851557
-889.57025,7,72.851573
-1778.913,10,72.88619
-1054.0293,2,72.88625
-1648.8813,8,72.902698
-1080.0286,2,72.923544
-287.82452,41,72.939714
-1138.1017,31,72.939849
-3801.9604,16,72.963017
-1032.6912,2,72.96308
-1314.6277,21,72.963094
-924.56445,6,72.963102
-2561.5254,16,72.963108
-1056.8037,3,72.963113
-1437.3738,13,72.986837
-972.2971,3,73.003861
-1218.5925,10,73.003931
-781.70496,6,73.003942
-1684.8252,22,73.025326
29.68396,45,73.025487
-1831.2595,5,73.050092
-1364.453,42,73.05025
-1032.7223,2,73.050347
-1036.815,4,73.079419
-2593.9985,37,73.10786
-4634.779,39,73.107917
-594.1565,5,73.121846
-1165.4966,28,73.12197
-1396.8999,7,73.135403
-2067.5757,10,73.135476
-1023.0454,2,73.157248
-1855.2661,9,73.157326
-969.748,4,73.169954
-906.70667,19,73.185409
-2224.705,13,73.185494
-1325.7708,5,73.185509
-1044.5927,4,73.201183
-1012.00885,58,73.215293
-1658.9158,29,73.228562
-1055.191,5,73.245303
-1793.4243,9,73.287118
-1565.5935,12,73.31337
-1457.4832,12,73.360853
-398.3413,25,73.360961
-105.61688,26,73.374912
-1362.4119,17,73.402976
-947.6395,5,73.442515
-1054.9423,4,73.442609
-151.34454,78,73.442638
-982.3231,17,73.482328
-1197.2208,5,73.49516
-2579.392,49,73.495232
-1183.7145,9,73.512403
699.03394,33,73.512501
-255.00568,23,73.542125
-1332.3447,32,73.542201
-423.9947,28,73.556223
-1051.9258,2,73.573025
-92.969604,59,73.573094
-1058.8108,2,73.586714
-1424.6914,5,73.586837
-1182.229,4,73.61154
-1629.3853,26,73.611971
-1042.3038,2,73.612015
-118.951355,41,73.63061
-1420.5148,10,73.657367
-1517.9419,11,73.657425
-903.3286,27,73.657442
-1837.1028,13,73.657448
-892.57166,6,73.699154
-1689.2573,24,73.699237
-2273.9219,6,73.712255
-788.296,43,73.712575
-2484.964,9,73.730503
-879.5931,5,73.730588
640.07086,42,73.730605
-972.7425,5,73.730612
-1050.0143,2,73.730617
-1033.8472,2,73.744419
-723.1472,49,73.744505
-2064.1118,10,73.766167
-1086.0453,3,73.788944
-1041.3917,2,73.789015
-1072.7617,2,73.812559
-959.3648,4,73.827727
-1510.5428,23,73.827778
-3989.7373,20,73.827792
-1205.2948,5,73.827799
-689.32416,13,73.868089
-1002.97424,4,73.8815
-2838.76,10,73.896941
-1181.2601,6,73.917187
-1713.1577,8,73.935465
-795.58075,41,73.949079
-1297.6672,13,73.949121
-1177.5763,8,73.949131
-967.2811,5,73.96067
-894.58527,4,74.004614
-1279.1759,14,74.00477
-2351.1348,28,74.038445
-496.85944,20,74.038546
-1229.3993,9,74.038573
-1414.7838,20,74.060117
-2668.7363,39,74.073279
-962.2069,23,74.073371
-1537.9292,3,74.089267
-652.7551,68,74.100737
-1975.324,10,74.100784
792.4043,59,74.113391
-1172.9419,5,74.125762
-1099.6597,11,74.126114
-986.87195,5,74.153814
-1921.8242,8,74.153879
-1398.3423,14,74.153908
-1109.077,4,74.153916
-1704.4669,11,74.167056
-121.06818,42,74.167125
-828.54834,34,74.181941
1608.0565,130,74.19821
-1515.4595,5,74.198308
-159.75494,62,74.213675
-1053.541,41,74.213917
-965.3204,4,74.226112
-791.4743,16,74.241967
237.5277,26,74.257368
-1111.3276,4,74.270739
-1308.7883,5,74.270809
-1519.1859,31,74.281935
-1310.4812,14,74.311098
-1309.8877,6,74.325983
-1772.9492,12,74.326069
-974.59265,16,74.326085
