#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-1087.3334,3,3.422985
-1247.6473,16,3.458324
-1067.6698,24,3.458379
-2447.066,31,3.472786
-1255.6989,47,3.472856
-2595.5083,51,3.487233
-3360.6167,67,3.487294
-2996.086,6,3.50729
-1882.4163,15,3.522561
-213.65582,18,3.542938
-987.78015,4,3.543001
-997.53705,4,3.555704
-494.22174,23,3.555782
-923.20245,7,3.568259
-991.60614,16,3.56833
-3552.7136,64,3.582593
-1584.4818,32,3.596985
-1225.2672,25,3.608114
-1854.2933,26,3.619163
-1039.2904,7,3.635412
-974.1468,6,3.635485
-1041.4105,2,3.651291
-754.8437,12,3.65136
-2589.5308,10,3.667875
-841.01996,17,3.667949
-1134.5148,6,3.682119
-2790.3403,13,3.702296
-1083.0021,14,3.702356
-1024.1953,4,3.702372
-1497.4084,7,3.714604
-1033.3496,2,3.73325
-2410.275,30,3.747714
-1519.9288,5,3.747818
-2886.89,8,3.775712
-1106.6727,6,3.775754
-1473.3956,5,3.775764
-1060.7294,2,3.81505
-2203.9648,17,3.815153
-2279.9446,16,3.815181
-2337.44,27,3.833846
-1812.1707,6,3.855239
-2201.0913,10,3.871383
-1657.7172,19,3.871492
-260.60742,34,3.871524
-561.9572,45,3.885688
-1417.8705,4,3.885771
-1007.737,2,3.898558
-1925.2622,17,3.912921
-96.38788,22,3.933905
-1545.768,7,3.933985
-1974.2542,8,4.001466
-775.26355,36,4.035776
-1357.7898,32,4.061696
-832.92194,25,4.08349
-2119.8994,10,4.084132
-31.778442,44,4.084182
-1482.0004,10,4.09798
-1055.141,2,4.113017
-1550.5801,5,4.130165
-757.8635,24,4.145915
-1392.5071,15,4.145997
-763.343,18,4.163625
1127.0876,50,4.163686
-1142.6526,26,4.163701
553.7109,27,4.20621
-1310.4724,5,4.206268
653.10345,55,4.206282
-1384.5736,55,4.206289
-2286.709,8,4.206295
-4395.81,21,4.221698
-1463.1897,5,4.221779
-1043.3456,2,4.236154
-1080.5485,2,4.236214
-1101.5061,24,4.277411
-1043.2032,3,4.277493
-850.65436,5,4.297018
-1203.201,6,4.297379
-1619.9573,7,4.31597
-1415.9451,7,4.331792
-972.7792,2,4.331861
-2752.588,12,4.331876
-1192.4767,3,4.353251
-1273.5675,18,4.379291
-1752.3241,27,4.379344
-1128.0356,3,4.379357
-1295.2017,21,4.395403
-1355.877,19,4.410452
-1025.831,2,4.410513
-945.62573,6,4.425906
-2491.8188,17,4.42597
-942.20465,6,4.485228
-1819.4756,22,4.501174
-1148.628,5,4.501237
-1915.3148,11,4.518809
722.947,46,4.535343
-3265.014,22,4.550287
-626.6333,31,4.569489
-2585.2183,13,4.594345
-1563.5131,11,4.594406
-1143.6846,19,4.594422
-1100.9675,3,4.634327
-1548.7728,6,4.65245
109.972534,41,4.665628
-935.2448,6,4.678837
-1049.176,54,4.695018
-1025.1377,2,4.71249
-1774.7032,58,4.726089
-3862.1865,67,4.763154
-1470.3995,7,4.763213
-1103.8899,3,4.763228
-946.0504,30,4.763235
-2857.542,22,4.782089
-1019.19855,4,4.798156
-2206.5815,18,4.833288
-773.7008,20,4.846876
-1068.5165,62,4.846945
-2077.6582,10,4.866458
-1021.7928,6,4.866552
-1118.6017,31,4.885151
510.5595,19,4.885244
-1171.4727,7,4.885266
-1599.4037,5,4.885273
-964.8206,3,4.909463
-997.8829,2,4.925879
-1341.7772,20,4.92596
-1444.9641,3,4.93834
-1370.2268,19,4.94985
-1319.2324,27,4.949924
-1002.3156,3,4.964121
-2944.583,13,4.979511
-1603.5197,12,4.979605
960.13446,52,4.998462
-992.1283,8,4.998554
-2130.2856,5,5.01242
-2681.1162,43,5.026589
-1802.8823,13,5.042592
-1071.9056,5,5.059275
33.293823,46,5.059334
-1743.8613,11,5.059349
-2133.752,7,5.074105
-2587.497,5,5.07416
22.479736,38,5.103477
-2250.4927,6,5.134165
-1021.5584,2,5.134227
-71.31372,45,5.134243
-1794.5265,18,5.134248
-2280.13,11,5.15111
-1586.9724,9,5.16617
942.2173,41,5.166262
-1446.7894,3,5.185615
-1195.9703,7,5.185687
715.12427,61,5.221621
-752.27716,24,5.259059
-1880.6368,8,5.273554
-1717.0947,13,5.273625
-2278.2588,7,5.30174
-1539.6067,25,5.318177
-1120.8407,3,5.318244
-787.1765,6,5.358969
-2368.9019,9,5.359053
-733.75946,29,5.35907
-952.74384,4,5.373181
-1872.4014,44,5.373238
-1346.1216,13,5.373251
-632.24225,28,5.387688
-1466.3309,15,5.387767
-952.6011,22,5.405879
-1135.981,3,5.405942
-576.806,17,5.405955
-1468.6499,3,5.405961
-1995.8312,8,5.424393
-2781.869,92,5.424459
-2643.88,13,5.453236
-966.227,6,5.453288
-1680.7651,5,5.482127
-1581.8428,5,5.482185
-16.022217,32,5.503067
-977.7091,27,5.503157
-1071.5634,2,5.52313
-1466.894,6,5.548492
-1167.3105,10,5.610592
-988.15894,7,5.610694
-1551.0613,12,5.610712
-517.4124,54,5.627779
-584.58203,47,5.627852
-2643.157,16,5.639591
-1038.9728,2,5.639663
-1010.2824,2,5.654371
-409.6385,20,5.684934
101.259705,47,5.685025
-1789.6208,18,5.702095
-1771.9343,6,5.715926
-3143.2053,16,5.730301
-1013.73193,3,5.744822
-570.94464,26,5.783927
-2138.8467,7,5.799183
-1305.7605,6,5.811304
-1745.8217,11,5.834529
-695.52234,42,5.848762
-1461.8474,6,5.848832
-1368.5446,30,5.8806
-759.3484,31,5.904205
-2269.022,5,5.904279
-1460.8176,3,5.904295
-1395.9092,4,5.918878
-2178.46,8,5.956198
-2224.3706,58,5.973396
6395.58,62,5.988503
-1349.3793,7,6.001821
25.431396,29,6.001946
809.7009,39,6.104227
-1904.0897,7,6.104295
-1817.2528,48,6.13818
-112.16742,35,6.153104
-1078.8197,4,6.166455
-1356.0271,15,6.196134
576.5276,37,6.21284
58.624756,46,6.229378
745.37585,70,6.261903
714.6918,73,6.276941
-1442.5226,38,6.277008
-932.68304,4,6.293091
-1028.1409,2,6.30728
-1070.2329,2,6.307374
-2022.5464,35,6.344625
-1047.7158,2,6.344692
-1922.5347,9,6.344709
-1501.2959,4,6.366915
-590.2109,23,6.366975
-4761.7896,27,6.381834
-1493.7134,10,6.381917
65.05481,68,6.381938
-1628.6228,8,6.40367
-1422.3887,3,6.403756
-926.56836,66,6.421952
-913.2415,7,6.435478
-1031.5804,4,6.435548
-1164.9327,51,6.45415
-1040.786,2,6.478863
-652.2323,38,6.514467
-2998.8784,47,6.534824
-1411.7184,10,6.551249
-1078.4209,7,6.551327
-1376.8456,8,6.56944
-717.931,24,6.56954
-1158.8417,8,6.636959
-2229.3557,33,6.637045
-1716.1094,42,6.661972
-2028.8098,12,6.675755
-2917.204,21,6.689391
-2322.9888,52,6.703362
-3343.6506,18,6.703434
-1488.0365,10,6.718946
-2003.709,23,6.719029
